Year,Tm,DrAV
2016,GNB,17.285714285714285
2016,HOU,12.5
2016,IND,11.5
2016,JAX,14.285714285714286
2016,KAN,15.666666666666666
2016,LAR,12.666666666666666
2016,MIA,11.625
2016,MIN,3.75
2016,NOR,22.6
2016,NWE,9.666666666666666
2016,NYG,9.5
2016,NYJ,10.285714285714286
2016,OAK,6.571428571428571
2016,PHI,12.75
2016,PIT,9.142857142857142
2016,SDG,10.625
2016,SEA,9.3
2016,SFO,5.0
2016,TAM,5.571428571428571
2016,TEN,15.5
2016,WAS,7.142857142857143
2017,ARI,9.142857142857142
2017,ATL,6.666666666666667
2017,BAL,12.428571428571429
2017,BUF,20.833333333333332
2017,CAR,13.285714285714286
2017,CHI,19.0
2017,CIN,6.7272727272727275
2017,CLE,10.4
2017,DAL,6.444444444444445
2017,DEN,5.25
2017,DET,7.777777777777778
2017,GNB,8.7
2017,HOU,15.0
2017,IND,10.625
2017,JAX,10.571428571428571
2017,KAN,18.333333333333332
2017,LAC,17.714285714285715
2017,LAR,13.5
2017,MIA,5.714285714285714
2017,MIN,9.181818181818182
2017,NOR,27.857142857142858
2017,NWE,6.0
2017,NYG,9.666666666666666
2017,NYJ,6.555555555555555
2017,OAK,3.0
2017,PHI,7.125
2017,PIT,15.375
2017,SEA,9.090909090909092
2017,SFO,11.2
2017,TAM,10.0
2017,TEN,9.222222222222221
2017,WAS,9.3
2018,ARI,9.666666666666666
2018,ATL,13.666666666666666
2018,BAL,14.583333333333334
2018,BUF,15.0
2018,CAR,9.625
2018,CHI,13.857142857142858
2018,CIN,6.636363636363637
2018,CLE,13.222222222222221
2018,DAL,11.11111111111111
2018,DEN,8.1
2018,DET,10.333333333333334
2018,GNB,6.181818181818182
2018,HOU,5.375
2018,IND,17.818181818181817
2018,JAX,7.857142857142857
2018,KAN,5.666666666666667
2018,LAC,12.0
2018,LAR,5.363636363636363
2018,MIA,8.375
2018,MIN,6.125
2018,NOR,4.428571428571429
2018,NWE,6.111111111111111
2018,NYG,13.0
2018,NYJ,7.333333333333333
2018,OAK,7.666666666666667
2018,PHI,12.0
2018,PIT,9.285714285714286
2018,SEA,8.0
2018,SFO,11.444444444444445
2018,TAM,13.5
2018,TEN,14.25
2018,WAS,7.125
2019,ARI,8.090909090909092
2019,ATL,6.714285714285714
2019,BAL,6.25
2019,BUF,9.375
2019,CAR,4.714285714285714
2019,CHI,5.0
2019,CIN,4.9
2019,CLE,5.571428571428571
2019,DAL,4.0
2019,DEN,9.333333333333334
2019,DET,5.0
2019,GNB,8.0
2019,HOU,6.571428571428571
2019,IND,4.8
2019,JAX,8.0
2019,KAN,8.5
2019,LAC,5.714285714285714
2019,LAR,8.375
2019,MIA,10.333333333333334
2019,MIN,5.416666666666667
2019,NOR,6.8
2019,NWE,5.0
2019,NYG,7.9
2019,NYJ,5.0
2019,OAK,11.11111111111111
2019,PHI,5.6
2019,PIT,6.333333333333333
2019,SEA,5.454545454545454
2019,SFO,9.875
2019,TAM,9.75
2019,TEN,14.833333333333334
2019,WAS,7.8
2020,ARI,4.833333333333333
2020,ATL,5.833333333333333
2020,BAL,6.0
2020,BUF,4.571428571428571
2020,CAR,7.857142857142857
2020,CHI,6.142857142857143
2020,CIN,9.285714285714286
2020,CLE,5.285714285714286
2020,DAL,7.857142857142857
2020,DEN,4.4
2020,DET,4.777777777777778
2020,GNB,3.3333333333333335
2020,HOU,3.2
2020,IND,6.666666666666667
2020,JAX,3.5
2020,KAN,6.833333333333333
2020,LAC,7.833333333333333
2020,LAR,3.2222222222222223
2020,LVR,3.5714285714285716
2020,MIA,6.363636363636363
2020,MIN,5.0
2020,NOR,5.25
2020,NWE,3.4
2020,NYG,4.9
2020,NYJ,3.111111111111111
2020,PHI,5.2
2020,PIT,5.5
2020,SEA,5.0
2020,SFO,5.2
2020,TAM,7.0
2020,TEN,2.0
2020,WAS,6.75
2021,ARI,2.0
2021,ATL,2.7777777777777777
2021,BAL,1.75
2021,BUF,2.375
2021,CAR,1.2727272727272727
2021,CHI,2.142857142857143
2021,CIN,2.7
2021,CLE,1.75
2021,DAL,2.909090909090909
2021,DEN,3.0
2021,DET,3.4285714285714284
2021,GNB,2.111111111111111
2021,HOU,3.8
2021,IND,1.2857142857142858
2021,JAX,1.6666666666666667
2021,KAN,4.166666666666667
2021,LAC,2.6666666666666665
2021,LAR,0.8888888888888888
2021,LVR,3.142857142857143
2021,MIA,3.5714285714285716
2021,MIN,1.0909090909090908
2021,NOR,2.1666666666666665
2021,NWE,2.75
2021,NYG,2.0
2021,NYJ,3.0
2021,PHI,3.0
2021,PIT,3.4444444444444446
2021,SEA,1.0
2021,SFO,2.375
2021,TAM,1.0
2021,TEN,0.75
2021,WAS,1.5
